Neighbourhood,Postal_Code,City,Latitude,Longitude
Edmonton (East North Central / West Beverly),T5B,Edmonton,   53.735,-113.337
Edmonton (Central Londonderry),T5C,Edmonton,   53.6,-113.455
Edmonton (North Central / Queen Mary Park / YXD),T5G,Edmonton,   53.571,-113.505
Edmonton (North Downtown),T5J,Edmonton,   53.543,-113.497
Edmonton (South Downtown / South Downtown Fringe),T5K,Edmonton,   53.537,-113.51
Edmonton (North Westmount / West Calder / East Mistatim),T5L,Edmonton,   53.585,-113.553
Edmonton (South Westmount / Groat Estate / East Northwest Industrial),T5M,Edmonton,   53.563,-113.566
Edmonton (Glenora / SW Downtown Fringe),T5N,Edmonton,   53.544,-113.557
Edmonton (North Jasper Place),T5P,Edmonton,   53.546,-113.596
Edmonton (Central Jasper Place / Buena Vista),T5R,Edmonton,   53.518,-113.58
Edmonton (West Northwest Industrial / Winterburn),T5S,Edmonton,   53.563,-113.67
Edmonton West (West Jasper Place / West Edmonton Mall),T5T,Edmonton,   53.519,-113.658
Edmonton (Central Mistatim),T5V,Edmonton,   53.585,-113.622
Edmonton (Central Beverly),T5W,Edmonton,   53.565,-113.402
Edmonton (East Castledowns),T5X,Edmonton,   53.631,-113.524
Edmonton (Landbank / Oliver / East Lake District),T5Y,Edmonton,   53.658,-113.361
Edmonton (West Lake District),T5Z,Edmonton,   53.637,-113.467
Edmonton (SE Capilano / West Southeast Industrial / East Bonnie Doon),T6B,Edmonton,   53.513,-113.419
Edmonton (Central Bonnie Doon),T6C,Edmonton,   53.522,-113.459
Edmonton (South Bonnie Doon / East University),T6E,Edmonton,   53.491,-113.48
Edmonton (West University / Strathcona Place),T6G,Edmonton,   53.521,-113.532
Edmonton (Kaskitayo),T6J,Edmonton,   53.456,-113.521
Edmonton (West Mill Woods),T6K,Edmonton,   53.461,-113.452
Edmonton (East Mill Woods),T6L,Edmonton,   53.459,-113.414
Edmonton Southwest,T6M,Edmonton,   53.459,-113.655
Edmonton (South Industrial),T6N,Edmonton,   53.465,-113.478
Edmonton (East Southeast Industrial / South Clover Bar),T6P,Edmonton,   53.508,-113.372
Edmonton (Riverbend),T6R,Edmonton,   53.457,-113.58
Edmonton (North Clover Bar),T6S,Edmonton,   53.581,-113.337
Edmonton (Meadows),T6T,Edmonton,   53.462,-113.371
Edmonton (West Castledowns),T6V,Edmonton,   53.611,-113.575
Edmonton (Heritage Valley),T6W,Edmonton,   53.418,-113.579
Edmonton (Ellerslie),T6X,Edmonton,   53.415,-113.418
Spruce Grove North,T7X,Spruce Grove,   53.533,-113.919
Spruce Grove South,T7Y,Spruce Grove,   53.418,-113.81
Sherwood Park Outer Southwest,T8B,Sherwood Park,   53.44,-113.295
Sherwood Park Inner Southwest,T8C,Sherwood Park,   53.439,-113.19
Sherwood Park Central,T8E,Sherwood Park,   53.522,-113.102
Sherwood Park East,T8G,Sherwood Park,   53.505,-112.953
St. Albert 1,T8T,St. Albert,   53.687,-113.71
Edmonton (North and East Downtown Fringe),T5H,Edmonton,   53.551,-113.492
Edmonton (Southgate / North Riverbend),T6H,Edmonton,   53.375,-113.458
Sherwood Park Northwest,T8H,Sherwood Park,   53.556,-113.295
Edmonton (West Clareview / East Londonderry),T5A,Edmonton,   53.593,-113.408
Edmonton (West Londonderry / East Calder),T5E,Edmonton,   53.745,-113.447
Edmonton (North Capilano),T6A,Edmonton,   53.548,-113.432
Stony Plain,T7Z,Stony Plain,   53.533,-114.002
Sherwood Park West,T8A,Sherwood Park,   53.528,-113.251
Fort Saskatchewan,T8L,Fort Saskatchewan,   53.717,-113.219
St. Albert 2,T8N,St. Albert,   53.633,-113.635
